folio,entidad,control,viv_sel,num_hog,hog_mud,n_ren_el,cd,periodo,sexo,edad,nivel,anio,cond_act,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p4,p5,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p7,p7_3,p8_1,p8_2,p9,p10,p11,p12_1,p12_2,p12_3,p12_4,p12_5,p12_6,p12_7,p12_8,p12_9,p13,p13_3,p14_1,p14_2,p15,p16,p17,p18_1,p18_2,p18_3,p18_4,p18_5,p19,p19_3,p20_1,p20_2,p21,p26,p27,p28,p29,p30,p31,p32,p33_1,p33_2,p33_3,p33_4,p34_1,p34_2,p34_3,p34_3_1,p34_4,p34_4_1,p35,p36_1,p36_2,p36_3,p36_4,factor,h_lec,mat_lec,perslec,l_format,r_format,p_format,perslecl,material_leido,cond_act_segmentado,nivel_segmentado
13A207,8,40009,3,1,1,1,9,223,2,45,0,,1,1,1,1,2,2,2,2,1,5,2,2,1,2,2,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,1,1,2,0,2,2,2,2,2,2,2,0,2,0,2,0,0,0,0,20427,1,1,1,2,0,0,1,1,2,0
13A207,8,40009,2,1,0,2,9,223,2,79,5,4,8,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,2,2,3,2,0,3,0,1,2,3,2,2,23202,4,4,2,0,0,0,2,0,0,1
12B213,8,40071,4,1,0,1,9,223,2,50,3,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,2,2,2,7170,4,4,2,0,0,0,2,0,2,1
12B213,8,40071,3,1,0,1,9,223,1,40,6,4,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,8874,4,4,2,0,0,0,2,0,2,1
12B213,8,40071,2,1,1,2,9,223,1,33,7,6,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,1,2,0,1,1,1,1,1,2,2,17178,4,4,2,0,0,0,2,0,2,2
12B213,8,40071,1,1,1,2,9,223,2,54,3,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,0,2,0,1,2,1,1,2,21509,4,4,2,0,0,0,2,0,2,1
12B216,8,40078,3,1,0,3,9,223,1,18,6,3,1,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,1,2,2,2,0,1,4,1,1,1,1,1,43557,4,4,2,0,0,0,2,0,2,1
12B216,8,40078,4,1,0,3,9,223,1,20,7,1,6,1,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,2,1,1,1,2,0,1,2,2,1,2,32667,4,4,2,0,0,0,2,0,1,2
12B216,8,40078,2,1,0,1,9,223,2,31,7,1,7,1,1,1,2,2,2,2,1,4,2,2,1,2,2,2,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,2,0,4,3,2,0,2,2,2,2,2,1,2,0,2,0,1,1,1,1,2,7662,1,1,1,1,0,0,1,1,0,2
12B202,8,40083,1,1,0,2,9,223,2,26,3,3,3,1,1,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,0,3,0,1,2,2,2,2,22806,2,4,2,0,0,0,2,0,2,1
