edad,sexo,entidad,nivel_segmentado,cond_act_segmentado,p26
57,1,Norte,2,2,35
49,1,Norte,1,2,40
42,2,Norte,1,0,40
21,1,Norte,1,1,20
60,2,Norte,1,2,30
30,1,Norte,1,2,15
19,1,Norte,2,1,35
77,1,Norte,2,2,60
51,1,Norte,2,2,20
28,2,Norte,2,2,15
47,2,Norte,0,0,30
63,2,Norte,0,0,0
28,1,Norte,1,2,20
27,1,Norte,2,2,10
74,2,Norte,0,0,0
31,1,Norte,1,2,0
45,1,Norte,1,2,30
41,2,Norte,1,2,20
92,1,Norte,0,0,0
39,2,Norte,1,0,0
53,1,Norte,1,2,20
58,2,Norte,1,0,60
34,1,Norte,1,2,0
53,2,Norte,2,2,25
22,2,Norte,2,1,25
78,1,Norte,1,2,0
41,2,Norte,2,2,30
38,1,Norte,2,1,40
43,1,Norte,2,2,30
31,1,Norte,2,2,15
65,2,Norte,1,2,30
47,2,Norte,1,2,20
25,2,Norte,1,2,0
21,2,Norte,2,2,20
45,2,Norte,1,0,0
20,1,Norte,1,2,20
67,1,Norte,0,2,30
34,2,Norte,2,0,30
67,1,Norte,0,2,0
26,2,Norte,2,2,0
53,2,Norte,1,0,30
41,1,Centro,2,2,60
51,2,Centro,2,2,20
75,2,Centro,1,0,0
72,2,Centro,2,0,0
36,1,Centro,1,2,120
35,2,Centro,1,2,0
32,1,Centro,2,2,60
25,2,Centro,2,1,20
59,2,Centro,1,0,45
55,1,Centro,2,2,20
38,1,Centro,2,2,30
57,2,Centro,2,0,0
65,1,Centro,0,2,0
49,2,Centro,1,0,30
22,1,Centro,2,2,60
59,2,Centro,1,0,20
56,2,Centro,1,2,0
50,1,Centro,1,2,0
43,2,Centro,0,2,10
50,2,Centro,1,2,0
33,1,Centro,1,2,45
26,2,Centro,2,2,60
48,2,Centro,1,0,0
26,1,Centro,1,2,60
49,2,Centro,1,0,20
26,2,Centro,1,2,0
58,1,Centro,0,2,15
75,2,Centro,0,0,0
51,2,Centro,1,2,120
35,2,Centro,1,0,15
34,1,Centro,2,2,60
43,2,Centro,0,0,30
37,2,Centro,1,2,0
54,2,Centro,1,0,0
27,1,Centro,2,2,30
65,2,Centro,0,0,45
72,2,Centro,0,0,0
44,2,Centro,1,2,0
37,2,Centro,1,2,30
69,2,Centro,0,0,0
50,2,Centro,1,2,45
54,1,Centro,2,2,30
66,1,Centro,1,2,0
34,1,Centro,1,2,0
61,2,Centro,0,0,0
66,1,Centro,1,2,90
83,2,Centro,0,0,60
48,1,Centro,2,2,25
46,1,Centro,2,2,45
54,1,Centro,1,2,0
71,2,Centro,0,0,0
53,2,Centro,1,0,30
49,2,Centro,1,0,0
65,2,Centro,0,0,0
65,1,Centro,0,2,0
65,1,Centro,0,2,0
36,2,Centro,1,2,90
63,2,Centro,1,2,30
62,1,Centro,2,0,60
79,2,Centro,1,0,0
59,1,Centro,2,2,120
48,1,Centro,1,2,0
48,1,Centro,1,2,15
47,1,Centro,2,2,20
30,2,Centro,2,2,60
20,1,Centro,1,2,0
77,1,Centro,0,0,0
39,1,Centro,2,2,60
59,2,Centro,1,0,30
74,1,Centro,0,0,120
62,1,Sur,1,2,0
42,2,Sur,1,2,0
45,2,Sur,2,2,60
57,2,Sur,1,2,25
54,2,Sur,2,2,25
53,1,Sur,1,2,0
31,2,Sur,1,2,0
34,2,Sur,2,2,0
47,2,Sur,1,2,0
29,2,Sur,0,0,0
26,1,Sur,1,2,60
48,2,Sur,1,2,30
40,2,Sur,1,2,0
33,2,Sur,1,0,35
28,2,Sur,2,2,30
68,1,Sur,0,2,0
75,2,Sur,1,0,20
56,2,Sur,1,0,0
36,2,Sur,1,2,25
65,1,Sur,0,0,0
43,2,Sur,1,0,0
24,2,Sur,1,0,30
52,2,Sur,1,2,30
47,2,Sur,0,2,0
86,2,Sur,0,0,0
75,2,Sur,0,0,0
36,2,Sur,2,0,40
57,2,Sur,1,0,25
21,1,Sur,1,2,30
33,2,Sur,2,0,0
39,1,Sur,1,2,0
44,1,Sur,2,2,20
58,1,Sur,1,2,0
63,2,Sur,1,0,0
36,2,Sur,1,0,30
44,2,Sur,1,2,0
40,1,Centro,1,2,15
26,2,Centro,2,1,180
49,2,Centro,1,0,30
66,1,Centro,2,0,60
51,1,Centro,2,2,120
61,1,Centro,1,0,10
74,2,Centro,1,0,60
51,2,Centro,2,0,10
54,2,Centro,2,2,30
39,1,Centro,2,2,60
67,2,Centro,0,0,30
43,2,Centro,1,2,15
42,2,Centro,1,2,60
84,1,Centro,0,0,0
80,2,Centro,0,0,0
73,1,Centro,0,0,10
53,2,Centro,0,0,0
35,2,Centro,2,2,30
85,1,Centro,1,0,0
67,2,Centro,1,2,30
32,2,Centro,2,2,30
59,1,Centro,2,2,90
67,1,Centro,2,0,60
36,1,Centro,2,2,30
61,2,Centro,2,2,30
77,1,Centro,1,0,20
37,2,Centro,2,2,60
36,2,Centro,2,2,30
38,2,Centro,1,2,0
28,2,Centro,1,2,30
48,2,Centro,0,0,60
89,2,Centro,0,0,0
36,2,Centro,1,2,40
46,2,Centro,1,2,0
41,2,Centro,1,0,10
50,2,Centro,1,0,0
40,2,Centro,2,0,15
30,2,Centro,2,0,60
45,1,Centro,1,2,60
79,1,Centro,1,0,0
35,1,Centro,1,2,10
60,1,Centro,1,2,30
29,2,Centro,2,2,30
78,2,Centro,1,0,60
67,1,Centro,2,2,180
76,2,Centro,2,0,40
42,2,Centro,1,0,60
65,1,Centro,2,0,0
53,1,Centro,1,2,0
33,1,Centro,1,2,25
27,2,Centro,1,2,0
40,1,Centro,0,2,0
24,1,Centro,1,2,0
71,2,Centro,0,0,0
38,2,Centro,0,2,25
51,2,Centro,1,0,20
33,1,Centro,1,2,20
59,2,Centro,1,2,20
23,1,Centro,2,2,60
63,1,Centro,0,2,0
53,1,Centro,1,2,60
34,2,Centro,2,2,20
48,2,Centro,1,0,40
28,2,Centro,2,2,0
47,1,Centro,2,2,60
40,2,Centro,2,2,0
38,2,Centro,1,2,15
41,2,Centro,1,2,30
54,1,Centro,2,0,15
71,1,Centro,1,0,0
26,2,Centro,1,0,2
52,1,Centro,1,2,30
38,1,Centro,1,2,0
65,2,Centro,0,2,15
53,2,Centro,0,0,60
38,2,Centro,1,2,0
50,2,Centro,1,2,0
43,2,Centro,1,2,20
56,2,Centro,1,2,30
33,2,Centro,1,2,0
50,2,Centro,1,2,0
62,2,Centro,0,0,10
52,2,Centro,0,0,30
73,1,Centro,1,0,10
85,2,Centro,0,0,20
45,2,Centro,2,2,60
76,2,Centro,0,0,0
54,1,Centro,2,2,60
55,1,Centro,2,2,30
86,1,Centro,0,0,0
44,1,Centro,2,2,40
32,1,Centro,2,2,30
54,1,Centro,0,2,20
50,1,Centro,1,2,120
53,1,Centro,1,2,0
32,2,Centro,1,2,20
52,2,Centro,1,0,0
42,1,Centro,1,2,0
27,2,Centro,0,2,0
28,1,Centro,2,2,15
30,2,Centro,2,2,15
47,1,Centro,1,2,45
30,2,Centro,2,2,20
30,1,Centro,1,2,0
40,1,Centro,1,2,0
76,1,Centro,1,0,0
73,2,Centro,1,0,0
44,1,Centro,0,2,0
32,2,Centro,1,2,60
65,2,Centro,0,0,15
27,1,Centro,1,2,30
42,2,Centro,2,2,5
70,2,Centro,1,0,30
70,2,Centro,1,0,0
24,2,Centro,1,0,60
56,1,Centro,0,2,30
74,2,Centro,0,0,30
52,1,Centro,1,2,20
41,1,Centro,2,2,30
65,2,Centro,0,0,0
55,2,Centro,0,2,60
57,2,Centro,0,0,0
29,2,Centro,1,2,30
71,1,Centro,1,0,0
30,1,Centro,1,2,60
81,2,Centro,0,0,15
29,2,Centro,2,2,25
64,1,Centro,2,2,30
26,1,Centro,1,2,30
50,1,Centro,1,2,0
26,1,Centro,2,2,15
57,1,Centro,1,2,0
45,1,Centro,2,2,0
24,1,Centro,2,2,60
59,2,Centro,2,0,0
50,2,Centro,2,2,40
35,1,Centro,2,2,30
23,2,Centro,2,1,20
81,2,Centro,0,0,40
48,2,Centro,1,0,30
25,1,Centro,2,2,60
75,1,Centro,2,0,30
38,2,Centro,1,0,15
61,2,Centro,0,0,15
28,2,Centro,2,1,0
37,1,Centro,1,2,0
40,2,Centro,1,2,0
41,2,Centro,1,0,0
29,2,Centro,1,2,30
33,2,Centro,2,2,0
50,1,Centro,1,2,0
30,1,Centro,1,2,45
58,1,Centro,1,2,0
51,2,Centro,1,2,30
61,2,Centro,2,0,0
78,1,Centro,0,0,0
87,2,Centro,0,0,0
38,2,Centro,1,0,0
30,1,Centro,1,2,0
75,2,Centro,0,0,20
26,1,Centro,2,2,45
43,1,Centro,1,2,0
63,2,Centro,1,2,20
74,2,Centro,0,0,0
81,1,Centro,0,0,0
45,1,Centro,1,2,0
